topic_serial,text
2,还是需要依靠高科技，人脸识别是高科技，其实大数据也是高科技，把现在找到的孩子做一个列表，包括个人信息、被拐地点、买家地点、买家信息，然后让大数据的专家去分析，就能把买家各种特征定位出来，范围缩小了，再去排查就容易一些。
2,纯无语了，每次我化妆我们学校人脸识别就识别不出我了
2,#人脸识别#早知道每次进小区都能看到这张照片，我录入那天就应该去掉那俩发夹，画个美美的妆，服了服了够够的了
2,眼睛都睡水肿了，还要拍照片给教练怕是人脸识别不出来
2,我提出了问题“关于出人脸识别，我希望原宝能不能给次重新验证的机会，我不想就这样退游。”。O关于出人脸识别，我希望原宝能不能给次重新验证的机会，我不想就这样退游。 @原神
2,"小米人脸识别智能门锁X,已经安装好了，真的黑科技产品 查看图片"
2,笑死了哈哈哈今天出去嗨皮打扮了一下，然后回家小区的人脸识别一直识别异常，不让我进哈哈哈哈哈哈哈哈哈哈哈笑拉了
2,人脸识别 谁懂..
2,原神 好像在2.4会上线人脸识别系统？贴吧说崩三测试服已经在测试了（不过说好像会给一次改实名的机会）买号党真的每天都在提心吊胆….
2,路口交警还是在抓摩托车，说要身份证什么人脸识别啥的，走我前面的大妈突然跟她同伴说这是侵犯人权，还照相。同伴说可能是好找啥的，大妈又说就是侵犯人权，车跟人能对上不就行咯，还照相，到时候网上一公布不都晓得了。
2,敷了个面膜手机人脸识别还禁用了……我又不是外星人👽
2,今年几个项目做完变化还是蛮大的！一是西铁有直男看出来我脸变了！二是西铁的人脸识别不放我进来了
2,啊啊啊啊啊气死了！！！！四十多分钟的学时没算上该死的人脸识别机器我现在跟暑假差别那么大吗？？？？
2,【#找回孙卓的民警又找回一被拐人员# 生母称：孩子落户地距我不到20公里】帮助孙海洋找到孙卓的打拐民警樊劲松@回家旅程 又帮一家人找到了被拐18年的陈俊焜。1月2日，记者从被拐人员陈俊焜家人处获悉，重庆警方通过人脸识别等技术找到了丢失18年的陈俊焜。陈俊焜的母亲何女士告诉记者，孩子的落户地
2,人脸识别技术找到的？！太牛了！
2,记者从被拐人员陈俊焜家人处获悉，重庆警方通过人脸识别等技术找到了丢失18年的陈俊焜 
2,腾讯客服@腾讯客服 安卓QQ区账号2539457622，从30号开始天天人脸识别，真的无语啊，改了两次密码还弹出来，现在还要验证手机，一天要收十几条人脸的信息真的是服了，上王者弹出来，上联盟也弹，真的烦啊！@腾讯客服
2,sky光遇尊滴狠害怕刚刚听朋友说这次更新之后很有可能会完善人脸识别
2,老母亲的QQ号八年没登录了，我和她鼓捣了半个多小时，从验证码到身份证，从人脸识别到好友辅助，全都试过来了，死活就是身份信息不足，登录不上去坏企鹅！！！
2,chsz的人脸识别你有事吗 正对着屏幕识别失败 人已经走开了五米外就成功了 有事吗
2,腾讯人工客服 小号绑了手机号导致大号绑定手机号不成功，怎么换绑或者解绑，申诉回复的办法都试过了，人脸识别老是不成功，怎么办？
2,终于看到“人脸识别”了
2,#人脸识别有风险#人脸识别系统分分钟被攻破O一张照片攻破人脸识别系统：能点头摇头张嘴，网友：太可怕！
2,商场儿童乐园办个年卡都要给小孩拍照，搞人脸识别，用很多幼儿园大门口那种识别机型和系统，孩子身高不够，要抱着孩子识别，最关键是机器不给力，总是显示“拼命识别中”，真是太烦了，人脸识别已经滥用了。办了卡就行，后面都是多余的。
2,寝室楼下的人脸识别系统都比🍎的好用，至少我裹成这样他都能认出来我，给手机就套个透明壳它就不会了……
2,#锋味##谢霆锋#|#白宇#谢霆锋白宇人脸识别兵马俑猜猜谁最像他们？ 
2,每次需要人脸识别的时候总是头顶一窝鸡毛脸上油光发亮，整个人跟通宵打完仗一样憔悴不堪，真是辛苦审核员了😅
2,#王者荣耀成长守护平台#成长守护平台#腾讯成长守护平台#我的微信和游戏原本绑定的都是本人的信息，今天上王者突然发现要人脸识别，可是却不是我的信息了，被人恶意更改盗号了，识别怎么可能能通过？现在王者荣耀完全登录不上了，找客服也处理不了!!!成长守护平台
2,天天说我未成年 天天让我人脸识别@王者荣耀 你就说你有什么大毛病吧
2,在我戴着口罩想要摘但还没摘下的时候，人脸识别就已经把我识别出来了…难道在这个系统里录入的是我的发际线吗
2,北京健康宝在外面打开还要人脸识别 天才
2,冬天的人脸识别进小区：摘掉口罩，刷不开摘掉帽子，刷不开*2摘掉围巾，刷不开*3掀起刘海，刷不开*4摘掉眼镜，“门开了，请进”内心：mdzz🙉
2,上班走医院的员工通道要人脸识别，我记得我当时录的时候好像没有笑吧…就很平常的表情，然后每次都要我笑着人脸识别才给我开…有时候戴着口罩笑就可以识别有时候就得脱下口罩笑才能识别…就感觉怪怪的…（有时候不开心还得强颜欢笑..
2,真人脸识别，而且是人工的！
2,现在的人脸识别没有那么靠谱，除了做几个动作的识别，比如微软的所谓生物识别，就是一个红外+视频，两个影像重合即可，有心还是比较好绕过去的。
2,王者荣耀想问一下就是，如果绑定了别人的身份验证信息联系不上了，弹出来人脸识别后没验证变成了疑似未成年，也没有找到渠道修改实名认证应该怎么办有人解决过吗
2,#王者荣耀人脸识别#草泥马人脸识别，老子成年了，识别了一上午了不成功，老子圆脸就是未成年了吗，我成年了成年了成年了，我二十好几了！！！！！你他妈用脚识别的？
2,#民警买奶茶一眼认出店员是嫌犯#怀疑警察把人脸识别焊在眼睛里了，🐮🐮 2福州·五一广场商场
2,我一直觉得手机人脸识别能识别出妆前和妆后的脸是件挺不容易的事。
2,华为我发现我妈用人脸识别解开了我的手机…而且非常顺利。。
2,公司门口的人脸识别器，录入人脸的时候刚好眨眼了，以至于每次人脸识别开门的时候，出来的都是我闭着眼睛的照片
2,今天化妆导致上班人脸识别不出来，迟到两分钟，恨啊！ 2南京·文鼎广场
2,尬了尬了我一年半前的长相跟现在有什么不同吗？？？虽然那张的确拍的很丑人脸识别竟然通不过…
2,刷驾考视频真的好困，为什么一会会就人脸识别，而且还不止一次，刚刚一次性刷了大概五六遍……
2,2021年12月09日#智慧工地#项目分享：项目名称：【大渡口区】鲁能大渡口组团L分区工程-智慧工地维护Ⅰ项目地址：重庆市大渡口区大渡村项目设备：德服智慧 DF1000 实名制人脸识别门禁考勤一体机#人脸识别#德服智慧 人行通道闸翼闸 2重庆·大渡村
2,#王者荣耀##建议制定未成年人健康游戏国家标准# 国庆半夜和一个初中生打王者荣耀，我问他你都未成年，用谁的身份玩的 怎么人脸识别认证的。他说：我和我爸长的像，人脸识别直接能过。@王者荣耀 @腾讯微信团队 @腾讯游戏 你们看着办！！！
2,下载了反诈app人脸识别就是通不过，我真无语了
2,不得不说那个人脸识别是真的挫
2,腾讯人工客服 谁知道这是什么意思 怎么操作 ，我照着他的问公众号小程序还是人机回复我 @腾讯客服 @腾讯QQ帐号客服 人脸识别的时候输入身份证和已实名认证不符 我一直都是自己的号自己的身份证 为什么不符 给个答复
2,英语资料书也到喽星晨书屋第一次人脸识别打卡
2,sky光遇黑市就是说，人脸识别是什么东西阿...什么时候开始 每个人都要嘛...
2,其实有没有可能我其实是是是一个人工智障呢？看朋友A发的情侣照感觉A的对象很像同学B，分不清好友列表里的C和D或许我有人脸识别障碍吧
2,和平精英两个月没登游戏发现被我家那位趁我睡着时候给我注销了我的好多皮肤 还有语音包注销真的找不回来了吗？为什么注销游戏不要刷一下人脸识别？为什么不是本人操作也可以注销@和平精英 2亳州
2,#以案说法# 【5 人脸识别纠纷第一案】 O网页链接
2,回复@是钱罐子:前端用到的静态图片不会很多也不需要熬夜两天专门优化。有可能是市民注册时上传的人脸识别的图片，我现在想不起来第一次使用有没有要人脸识别了
2,食物语手游来问问各位少主有没有对人脸识别有没有经验的，我12.27弹人脸让我妈解了，这才一个星期又弹了我吐了…（间隔太短了我不敢让我妈再刷了)就是说大概几天不登可以消失…我想消失了立刻绑我成年朋友的（还有月卡我麻了）
2,谢谢#王者荣耀# 让我欧了一把邮箱里的人脸识别送的箱子开出了电玩小子@王者荣耀 2吉安·吉水县
2,人脸识别宝箱你们开出东西了吗
2,sky光遇 合服之后会有人脸识别吗
2,人脸识别送的皮肤秘宝，保底一个皮肤碎片，有概率开出史诗皮肤再加上20荣耀积分，还是不错的#王者荣耀##王者荣耀新赛季#
2,#王者荣耀# 看到一个人脸识别验证会送皮肤箱子的帖子，好像是随机的，有拿到的吗
2,#王者荣耀# 人脸识别说我信息不符，腾讯健康系统重新绑定又说跟原信息一样，逗我玩呢是吧？@腾讯客服
2,没有异地登录还跳人脸识别，当时随便找了个身份证验证的实名现在想改也改不了，能出个通道识别一下是不是号主本人吗？？这也太不人性化了@腾讯客服
2,2022，米家万件智能好物和@朱雨辰 一起助你flag不倒！朱雨辰同款小米人脸识别智能门锁 朱雨辰 #2022新flag，新智能生活# #小米年货节# 
2,#微博任务提现冻结# 辛辛苦苦做任务提现10块你给我说审核失败冻结？玩不起你别玩啊申诉完之后人脸识别就说机会用完了he~tui～
2,王者荣耀一直不提示人脸识别的，怎么领取那个奖励呢？有知道的朋友吗？
2,人脸识别的框对照原来应该是长这样的
2,学校的人工智障：校园门口的人脸识别：我带了眼镜后识别不通过，我需要摘下眼镜才能顺利进出图书馆的人脸识别：我带了眼镜后识别出来的没有一次是我的脸，但是能顺利进入
2,#今日份开心#刚吃完饭回来路上，门口人脸识别一直识别不了一个男生，他小伙伴们打趣 你是长太帅了吗一直识别不了，我回头一瞅，还真挺帅。然后到我的时候，也是一直识别不了，我想一定是因为我太美了
2,刚刚冲浪的时候看到一个好笑的帖子，笑得合不拢嘴。走到门禁前了，人脸识别没给我识出来，但是我抑制不住上扬的嘴角，保安看着我估计也无语了，心想这是哪来的二愣子。我退了两步调整调整心态，可是这个过程本身也很好笑，笑得更厉害了，我站在摄像头跟前半分钟，我是个彻头彻尾的表情管理失败者！
2,腾讯客服您好，我人脸识别QQ钱包一直网络异常失败，可以看看我吗？@腾讯客服
2,【人脸识别纠纷协商未果 法院如何认定】
2,讲道理，人脸识别真的不考虑加入戴着口罩的设置吗？每次在公共场合扯下口罩扫脸都让我觉得很危险‼️@支付宝 @腾讯微信团队
2,~~，🏺还没走出去呢，又有财税那边的事情又找🏺，又验证码又人脸识别登录的！
2,啊啊啊人脸识别太可爱了
2,可以刷脸的#康佳智能锁#Q：有我的视频或者照片，不会打开我家门吧？A：认准带有【3D人脸识别】的，安全级别可以达到金融级，轻松杜绝照片和视频这种假脸开锁方式
2,#EE问答# 我给小孩子预约，在移民局app上无法进行人脸识别，请问还有什么其他途径预约吗？==》答：可以登录北京市公安局网站，家长注册后给孩子预约。
2,人脸识别不公平啊#超能新星汇##新年vlog日记# 
2,好神奇 戴口罩也能人脸识别解锁
2,半边脸肿到无法人脸识别
2,考试人脸识别系统崩溃，那……识别喵脸试试？
2,小米人脸识别智能门锁 X太棒了。#2022新flag，新智能生活# #小米年货节#
2,爱疯人脸识别真是无语了，我带眼镜就不识别，带墨镜就识别
2,疫情防控如何合理利用智能设备来助力？现在的智能人脸识别测温门禁或人脸识别测温健康码核验一体机可以助力防控通道实现自助检验，既能有效提升防控通道的通行效率，又可以提高防控质量，减少人工。博时特科技是智能测温门禁机生产厂家，支持按需求配置。
2,落后，我哥在新疆退休，年年网上人脸识别，以前拍照要拿最近的报纸
2,突然想起今早的梦最近做梦都不安生 总要和学习扯上关联今早梦的稀奇古怪 什么人脸识别一直不成功最后错过了英语和数学考试考场的压抑感 紧张感 都记忆犹新太憋屈了 好像最近就没有不做梦老老实实睡一整晚的好觉
2,人脸识别动了，有鬼
2,建行的人脸识别真棒，别的软件都能识别，就你识别不出来，你是要特殊一些，真🐮🐴
2,每次过寝室的人脸识别，都会被高磨皮的显示屏弄迷糊
2,小区人脸识别，我每次都识别好几遍，我怀疑是我上传了一张P过的自拍的原因。
2,能不能把安馨办网络维护好？？？人脸识别十多次我都怀疑我自己了@安阳市民之家
2,坐下去不到一秒录入的门禁，原来能是这样啊！在小区门口摘下口罩人脸识别，就是一整个冷丑交迫！被自己丑到了，也把跟在我后面的邻居丑到了叭
2,手机不认识我了，人脸识别失败
2,草拟大坝 为什么我敷了面膜手机的人脸识别系统就识别不出来我了
2,人脸识别系统刷不进来保安说：“靠近点，瞅着它，笑一个。”丢死我吧
2,花了一晚上认清了nct dream，顺带嗑了一口cp，我觉得我在人脸识别方面还是可以的
2,确实是互联网老烟民了hh 🚬 🚬 🚬皮肤能好才怪捏，人脸识别35+是我hh
2,快递地址写错了，写到了你那里，进大门前心情很忐忑，会不会人脸识别给我删了，会不会遇到你，结果是你没删，也没遇到你，你的车也不在，是去哪儿了呢。还去吃了你喜欢的那家米线，当然，也没有遇到你。我甚至在想，你会不会搬家了。可能不得而知了吧。
2,书面表达人脸识别现场观影
2,"腾讯人工客服QQ被盗，密码，密保手机全被改掉了。找过腾讯小程序了，人脸识别也提交了，好友辅助验证了，之前QQ也实名了,我已经申诉了好多次，资料齐全，处理结果却告诉我辅助资料不符…… 找了人工，说我资料没问题，但又说我存在多次共享使用账号……"
2,身份证上的照片丑的我人脸识别了三次还没认证通过
2,王者荣耀交易家人们现在人脸识别那个系统修护好了吗
2,有事吗？我不化妆就人脸识别不出来了家都回不去还要尴尬得和人家说我因为没化妆识别不出来 有事吗？
2,O1月10日19:00洪范圆桌直播：人脸识别法律问题研讨会
2,穿越火线前天刚注册的号打了一局之后去道聚城进行充值，花了500多然后再上号要我人脸识别，结果发现我的账号实名认证被别人改了，为什么号上不去期间还能充值，我这钱现在冲给空气了，说什么实名认证系统不能人为干预那给我退钱啊@腾讯客服 @腾讯游戏安全中心 @腾讯成长守护平台 @穿越火线
2,发布了文章 《超跑机身设计，10000毫安+3D人脸识别+8GB，只要1099元》 O超跑机身设计，10000毫安+3D人脸识别+8GB，只要1099元
2,腾讯游戏客服官方大大，能不能给个机会，给自己喜欢的主播打，弹出人脸识别，被别人先扫了，而已修改了，
2,以后的学历考试大家要接受两个现实1.人脸识别考试2.费用大幅度提高河北省成人高考河北专升本
2,我们单位的人脸识别真的是看心情识别我
2,#广西健康码人脸识别#强制人脸违法知道不！微信原生的人脸识别或者人脸核身接口都不用，上传视频的方式识别分分钟秒破！哪个产品经理设计的，该拉出来祭天了@中央网信办举报中心
2,昨天和今天考试的乌龙就是:人脸识别不出我无效化妆也能识别不出来吗？哈哈哈哈哈哈不然就是有进步了？不然就是胖了/ 短发变长发？/ 贴了双眼皮贴嗯嗯，大型社死！全班人都在听你: 考生未识别(记得是)反正就是机器识别不出来的那个提示音。
2,图书馆的1号人脸识别太牛了吧，我距离它差不多2米都能扫出来
2,发布了文章 《门店违法采集人脸识别数据》 O门店违法采集人脸识别数据
2,公司这个逼人脸识别化妆就可以认证成功不化妆就只能蹭门禁进来
2,#车管小课堂# 学法减分 这7种情形不予受理！ “学法减分”活动，需要实名认证并通过人脸识别比对，学习过程中，仍会不定时进行人脸识别对比，未通过的将不予减记分。
2,这两天网络教育大专、本科都报疯了💥因为2021年政策猛如虎❗❗1️⃣各大高校、名校专科层次陆续停招2️⃣高校招生指标缩减，学费上涨3️⃣逐步实行人脸识别+监控还在观望的，赶紧报名，时间不等人❗网络教育正在招生中，早做打算为上策❗ 2青岛·青岛大学
2,看来需要AI人脸识别技术
2,很多私人企业利用各种渠道进入人脸识别领域太可怕了
2,所以在这个时代公共领域和私人领域怎么划分，人脸识别常态化后，怎么保证数据不泄露呢？
2,人脸识别技术很好用，很便利，但普通人的确挺担心隐私泄露问题的。
2,加强立法，杜绝人脸识别滥用，反对非必要场景的人脸识别
2,发布了头条文章：《一步到位的全功能旗舰门锁：小米人脸识别智能门锁X》 O一步到位的全功能旗舰门锁：小米人脸识别智能门锁X
2,发布了头条文章：《网易游戏积极探索人脸识别功能，用心构筑未成年人网络安全城墙》 O网易游戏积极探索人脸识别功能，用心构筑未成年人网络安全城墙
2,补铁剂可真是太难吃了今天开始装了人脸识别打卡机 再也不能愉快地迟到了
2,#腾讯客服#@腾讯客服 我想换个密保手机号怎么这么难，以前的号不用了想换成现在的死活换不了，真不明白为什么身份证号和人脸识别都证明不了我是我自己呢
2,工商银行app的登录在全部银行app里面是最讨厌的！！！！每次人脸识别我都得试上好多遍才进去！！！
2,学校的人脸识别是有什么大bing
2,突然想起来蛋蛋有发发手机的人脸识别
2,原来我的大脑真的有人脸识别功能，我是不是以后可以说自己不脸盲了。刚划到一个视频是“女生怀孕之后告诉闺蜜看闺蜜们的反应”大概花了0.01秒的时间在已经沉睡在海马体里八百年的垃圾信息里回忆起了这个女人叫ZoeSugg，是Joe的姐姐。然后我不死心的跑去Ins求证发现她真的怀孕了。我好牛（叉腰
2,#春运##携程# 忍不住吐槽脑残app，大早起没睡醒提示抢票中断，登入需要人脸识别，人脸识别屏幕自动强光，这点强光完全睁不开眼，根本识别不出来我是谁 2上海
2,这大块头电话用了几天还真是不错！！除了拍照像素太渣，其他暂时没发现啥问题！竟然还有人脸识别！
2,发布了头条文章：《【快讯】山东建筑大学平安校园数据智能升级扩容（学生宿舍人脸识别智》 O【快讯】山东建筑大学平安校园数据智能升级扩容（学生宿舍人脸识别智
2,关于我的HarmonyOS人脸识别AI放弃抵抗了这件事
2,人脸识别坐动车能过 手机系统能过 就是这个社保人脸识别说不是同一个人 2抚州·宜黄县
2,关于人脸识别法律讨论
2,我思来想去还是想不明白跳一跳为什么要人脸识别？
2,人脸识别屡次不成功，系统提示擦拭摄像头，其实是因为忙搬家三天没洗脸了，终于搬完了，这就去擦拭我的脸.
2,着实没有研究明白人脸识别这项科技 到底是识别了哪里就这也能识别出来 绝
2,没啥好说的，放假在家没化妆没洗头，去小区门口买东西，进来人脸识别居然认不到我，OK I'm fine
2,王者荣耀交易 人脸识别认证第二天 一天自己设备登录都挨认证10次 这情况到底要怎么解决啊 想托管号找个代都没办法啊
2,一个教训：一定要洗了头再去银行人脸识别时 脱下帽子露出乱糟糟的头发 尴尬的要死🚬
2,@华为 马上给我出搁着口罩的人脸识别
2,最近的人脸识别总是不行🙅🏻‍♂️，一定是我变好看了，所以识别不出来了。就是这样！耶！
2,sky光遇家人们 加强人脸识别功能 之前扫过人脸的还会不会弹出人脸啊
2,#微博寻人# 2021年初，公安系统开展“团圆行动”以来，打拐专家通过人脸识别技术、DNA比对技术，再结合多年的实战经验，孩子们陆续回家了：7月，《失孤》原型郭刚堂找到了儿子郭振；12月，孙海洋找到了孙卓。 让我们一起努力，愿天下无拐。
2,今天去了一个新超市，存物品的柜子是人脸识别的，购物车有单独的小电梯，自动化真好 
2,希望以后所有的APP都人脸识别吧 每天记各种密码真挺难的
2,#王者荣耀人脸识别#王者荣耀人脸识别三天识别几十次 回个微信再回去还要重新来识别 次次解 验证码短信一大堆 解得设备异常 这是不想我玩 是吧？@腾讯客服
2,派币我的kyc资格已经一个礼拜了，每天都可以进去，但是人脸识别那里根本无法进行，识别框卡在屏幕下边，有谁跟我一样的情况，急死个人
2,八点半打的卡 人脸识别错 帮别人签到了谁要倒闭不用多说了吧
2,不用这么扎心吧只不过刚生了一个小孩结果就身份证人脸识别不上了
2,好可怕，我就看看这是什么红包，结果自动人脸识别支付成功了@支付宝 果然不应该玩你的套路
2,微博钱包提现被锁，按要求申请人脸验证，3次都是一进去就是提示今日人脸识别次数已上限，这是不是该解决一下到底一天可以验证多少人次啊，每天几点刷新次数啊。@微博客服 @微博钱包
2,沉默是今晚的康桥😅为什么会有人要人脸识别识别这么久😅 
2,我真的无比自恋，对着单位的人脸识别都能自我欣赏半天
2,是不是有病中国银行？把图形码遮得严严实实叫我输什么啊？说我密码有误，行，我下个app找密码，验证码人脸识别弄了半天最后告诉我“中国银行app已更新请下载最新版使用这一功能。”就不能早说吗？！我刚下载下来的时候怎么不提醒我这不是最新版啊！
2,#被扒眼皮真的能够转账吗##扒前女友眼皮转账15万男子被判三年半#人脸识别不靠谱
2,天涯明月刀手游这种情况下，必须是人脸识别吗？人脸识别可以用几个号。这样限制太不友好了。
2,我才发现我绑定的是我妈的身份证 想开dy连麦直播吃麻辣烫都不行 要人脸识别
2,画了个贼好看的妆想把北京健康宝的人脸识别换了结果还不如不换就纳闷儿有没有人的人脸识别照片好看啊？？
2,#被扒眼皮真的能够转账吗#人脸识别真的不安全，上回凑双十二热闹不小心开通一次，为了花完领回来的红包优惠有一次不小心站在人脸识别的付款机器前几秒钟就被……哎。
2,自从跟我妹发现我们俩能刷脸打开对方的锁屏之后，我们就默契地关掉了手机的人脸识别支付。
2,学校图书馆人脸识别不出我我就没去图书馆了然后今天回宿舍，人脸识别不是我，是别人什么垃圾识别支付宝刷脸支付不管我什么样都可以识别出我
2,#被扒眼皮真的能够转账吗#支付宝人脸识别付款，俺带着口罩都能付
2,满脸写着高兴(寄快递人脸识别时北京风太大)
2,TF三代周边中转站有转转app的姐子能不能帮我联系一个姐子 我没有人脸识别 没办法留言 求求求
2,我爸人脸识别不摘口罩我真的救了，跟他说也不听，这识别出来有鬼了
2,我可能一个烂梗真的能讲一辈子，小李说圣诞假期去camping，好大一片野地，风景挺好，拿手机想拍一张结果居然出现了人脸识别框——我：你有没有想过可能是越共？
2,用了这么多银行工商的app真的是体验感最烂的人脸识别都转账不了 谁现在还带密码器最主要人脸识别10次都不成功能向招商学学么
2,转账的问题解决了。但是人脸识别的问题一直没有解决。现在又强制更新，不下载更新不给用。 查看图片 
2,『【机器人】（Nao 的简介）人脸识别 、对话、跳舞。。。_哔哩哔哩_bilibili』O网页链接
2,这个人脸识别，好不智能虽说秀智确实美的千变万化
2,工行的手机银行是不是有什么大病，三天两头人脸识别不成功，真的服了，不人脸识别还不行，好烦，张不张嘴都识别不出来？？？？？
2,王者荣耀王者荣耀人脸识别，登一次游戏识别一次？回个消息回来告诉我要人脸识别我人傻了@腾讯客服
2,你这人脸识别确定不是来搞笑的？ 
2,发布了头条文章：《人脸识别锁又进化了，可以收快递的智能锁你见过吗？》 O人脸识别锁又进化了，可以收快递的智能锁你见过吗？
2,长沙租房客 因工作变动转租次卧 大塘地铁站附近 1150包物业 1月底2月初可以入住 限女生 长租 房子很新 小区环境很高档 进出小区需要人脸识别 安全系数高 夜景也很美
2,我都通过曾用密码验证 姓名 身份证验证 人脸识别验证了 还不能证明我是我自己吗多少出生就带点脑残在身上@腾讯QQ
2,主播BLUE有没有姐妹知道为什么呀呜呜，人脸识别不了
2,工商银行app的人脸识别是什么鸡掰玩意啊 淦 2上海
2,光与夜之恋救命，今天突然开始人脸识别，是已经成年的大学生，但是用的我妈的身份证怎么办啊实名认证以前也改过一次
